,continued_claims_monthly
2025-02-28,1860000.0
2025-03-31,1865200.0
2025-04-30,1874500.0
2025-05-31,1906600.0
2025-06-30,1950250.0
2025-07-31,1947250.0
2025-08-31,1941000.0
2025-09-30,1922750.0
2025-10-31,1947500.0
2025-11-30,1932800.0
2025-12-31,1889250.0
2026-01-31,1852800.0
2026-02-28,1852500.0
2026-03-31,1821500.0
2026-04-30,1787750.0
2026-05-31,1779600.0
